Date,Price,Proteus2,Food Price Index,Cereals Price Index,Wheat Futures,Harvest,Sentiment,Warning
2016-12-01,0.6125181372610874,0.5269545392097204,0.6500179642127719,0.6018184207015125,0.6587349321439634,0.7994010747900857,1.0,0
2016-11-01,0.5671029538217283,0.5104424548703114,0.6497154427190992,0.5661703299977047,0.6162495911191964,0.6808747693246621,1.0,0
2016-10-01,0.5977945468632561,0.4949438675459791,0.6385570467428354,0.5467457461407029,0.5910879055664914,0.5645851419504889,1.0,1
2016-09-01,0.5605588181896641,0.4814152591225706,0.6261237452902179,0.5085102376474292,0.5123916462309984,0.4579259403577001,1.0,1
2016-08-01,0.56279432619651,0.468909354705453,0.5942645063348655,0.5300892347196291,0.4608288934100452,0.3536728796692032,1.0,2
2016-07-01,0.5106039217432473,0.4578551548317501,0.5262925239432245,0.5205395602451478,0.5041172453447996,0.2553634603505728,1.0,2
2016-06-01,0.5792979194512577,0.4484958539419735,0.5321393918519256,0.5581505714642442,0.5802576837616956,0.1657744462508394,1.0,2
2016-05-01,0.4721553897014078,0.4401621309770853,0.4455910067123926,0.4781835898515399,0.539616314494958,0.0788195649924474,1.0,2
2016-04-01,0.3819251810176408,0.4333482185093896,0.4006265686335697,0.408168342964166,0.4800278564297622,0.0,1.0,2
2015-12-01,0.3231985695259525,0.40741225487827,0.2255939974940353,0.2735642623505581,0.3617214656822401,1.0,-1.0,0
2015-11-01,0.2636913170299841,0.4061810910221979,0.2295792661347534,0.2712859635841753,0.3393867462225204,0.9461119118207604,-1.0,0
2015-10-01,0.247172458185916,0.4059313349613668,0.2764796216765769,0.2708964924699871,0.3532728292803055,0.8952584650793862,-1.0,0
2015-09-01,0.2189453912112404,0.4066356730162237,0.2360439694235346,0.2333233940504663,0.2971030527921313,0.8506117183929299,-1.0,0
2015-08-01,0.1973790854100784,0.4082956933906961,0.238538094176931,0.2379890487243195,0.2711515681378779,0.8090815505447252,-1.0,0
2015-07-01,0.2806605164549125,0.4108570887900706,0.3208071430895912,0.3371157520041428,0.3267216469854442,0.7721161401062544,-1.0,0
2015-06-01,0.2228011215902167,0.4141501834200893,0.3285779235746145,0.28438332247701,0.2604081713647367,0.7405794147006228,-1.0,0
2015-05-01,0.1485351534749817,0.4183491492563614,0.3277739081575706,0.2529474573045994,0.1904497754746243,0.7122552545298836,-1.0,0
2015-04-01,0.094842937218589,0.4231396583033897,0.3125566978060062,0.2808788841860399,0.2042991222831828,0.688862215851691,-1.0,0
2014-12-01,0.2470315429016262,0.5253689960883287,0.2887914524519196,0.2658802941854331,0.1771859133284662,0.3075793918199392,1.0,0
2014-11-01,0.2122066084038668,0.5331149039190597,0.341620990745639,0.2313673038487871,0.1242897593399902,0.3024628486190714,1.0,0
2014-10-01,0.1619878458315517,0.5416014814123973,0.3580107119726139,0.2052898958879787,0.0549139253003634,0.3006537278030727,1.0,0
2014-09-01,0.0931254486268374,0.5502377804659402,0.3513046979541473,0.1850450807971725,0.0168257092669066,0.3021599379292961,1.0,0
2014-08-01,0.1678628880432059,0.5595541866835234,0.4176630478362749,0.2200234632408701,0.0484940534383238,0.3069682215685815,1.0,0
2014-07-01,0.206037569236928,0.5692231420400584,0.4778746538722961,0.2395376728087027,0.1015134233263482,0.3149661460999892,1.0,0
2014-06-01,0.2831396155220927,0.5788719651555325,0.5299795101162018,0.3309007649737717,0.2184900275749376,0.3256330314210671,1.0,0
2014-02-01,0.3166621102775379,0.6194875148291732,0.4920049265121791,0.3213595180661769,0.185115882052042,0.3949615847866821,1.0,0
2014-01-01,0.2997805469844329,0.6302842992106579,0.4422169262998467,0.278235255024183,0.1182351162692471,0.4192512141374537,1.0,0
2013-12-01,0.2473821330378848,0.8937561530833774,0.4463693258347219,0.2614525988425736,0.1148847361880984,0.4694821343550319,1.0,0
2013-11-01,0.2325877874437764,0.904225601434288,0.4509160320527544,0.2598007017891425,0.1106348106005747,0.4974685348132102,1.0,0
2013-10-01,0.1803695802924071,0.9149865302762784,0.4491431773393534,0.2682032715196055,0.1342938946579174,0.5285128518926163,1.0,0
2013-09-01,0.1869867092909667,0.925301259161878,0.3983618821400521,0.2368215407426318,0.2018286299647995,0.560503417512189,1.0,0
2013-08-01,0.2532497883065918,0.9358120690170504,0.3906488753110053,0.27194582244875,0.2380924344038991,0.5954592646089912,1.0,0
2013-07-01,0.4764204264513265,0.9461266021252358,0.4218289145315841,0.376868279591508,0.5085381598129288,0.6322296360803024,1.0,0
2013-06-01,0.5627575212396152,0.955877622559536,0.4769603825995952,0.4822351085079173,0.6348395989584716,0.6694315308087638,1.0,0
2013-05-01,0.5701434590079502,0.9656698306824972,0.4978839824979661,0.5202027140856651,0.6586277002970123,0.7094314036720312,1.0,0
2013-02-01,0.6922228427001893,0.99176207287837,0.515075254782765,0.6071824134855487,0.7340014585879666,0.8320218193496587,1.0,0
2013-01-01,0.7122592789695281,1.0,0.5154268199439113,0.6513320239001968,0.7261373997477273,0.8770549895213622,1.0,0
2012-12-01,0.6812490502481294,0.0,0.4923847534305743,0.6602916320390976,0.7497954419163182,0.3697515626019452,1.0,0
2012-11-01,0.7064798064075773,0.0069394577044606,0.50609898435045,0.6920717966614214,0.7797168106378103,0.4151723053998397,1.0,0
2012-10-01,0.5776756954408471,0.0135127556895883,0.5135399760925853,0.6628463848761215,0.8183852603663954,0.4628791723446757,1.0,0
2012-09-01,0.5870353781765417,0.0192523832406205,0.5362472125757314,0.669292319151223,0.8351072677416423,0.5096854921382684,1.0,0
