,Date,Price,Proteus2,Food Price Index,Cereals Price Index,Wheat Futures,Harvest,Sentiment
0,2016-12-01,0.2970145131939177,-0.6219341092442818,0.2434370784517288,-0.03548479832092932,0.12710879660246555,-0.5468241665443657,1.0
1,2016-11-01,0.2084277317316141,-0.5938390643123844,0.22917075697204958,-0.08460658650950703,0.07087523346122349,-0.5082301430793341,1.0
2,2016-10-01,0.05748320824943898,-0.5640905980713643,0.19382220218759372,-0.10993769160986377,0.026387759149424594,-0.4691626005654659,1.0
3,2016-09-01,-0.05562442128341549,-0.534624876376383,0.1568196944333471,-0.16402273545549173,-0.05993395701235438,-0.4321331949000763,1.0
4,2016-08-01,-0.10795313462487044,-0.5034951834333704,0.08216730308460063,-0.12921527214040307,-0.1427482278325356,-0.3946640736895659,1.0
5,2016-07-01,-0.23376224688984737,-0.47169048848865625,-0.06199693597864142,-0.1414310265045321,-0.18049872528314592,-0.3579932000679895,1.0
6,2016-06-01,-0.1343152258291347,-0.44028615542564864,-0.06251849909358198,-0.08376791400204187,-0.0880184770360869,-0.3232563681231575,1.0
7,2016-05-01,-0.1414706631999939,-0.40720622769238235,-0.24189090481783337,-0.2021469826864688,-0.13746653653274232,-0.2881285637095118,1.0
8,2016-04-01,-0.23425673168440608,-0.3746018041435397,-0.3400393997056359,-0.3061529178363187,-0.14151403395809592,-0.254867266072736,1.0
9,2016-03-01,-0.34050175614677625,-0.34031692219476595,-0.45493305085849767,-0.3934149986028682,-0.16674629437290278,-0.22124583002113996,1.0
10,2016-02-01,-0.35603731067048383,-0.30771362911965994,-0.5457558974995718,-0.40503521543537846,-0.3026046644802296,-0.19047401135221464,1.0
11,2016-01-01,-0.35005924721519377,-0.272312106158084,-0.6336419995224156,-0.432349262139222,-0.2850437531641763,-0.1582984458017095,1.0
12,2015-12-01,-0.3236138123430806,-0.015614124809680718,-0.7204705119037857,-0.50917435778953,-0.3111153695795851,-0.06024371515513827,-1.0
13,2015-11-01,-0.34132172878263967,0.01968480786619975,-0.72213791820353,-0.5140335619340772,-0.3821723417641717,-0.030504644273565806,-1.0
14,2015-10-01,-0.4203771892646184,0.05666645572355122,-0.6407044370699289,-0.516486412541602,-0.3348353080986821,-0.0004771168916333224,-1.0
15,2015-09-01,-0.5783814645649402,0.09292799602871504,-0.727666502468058,-0.5747502252915285,-0.42423970159322266,0.027910437876053518,-1.0
16,2015-08-01,-0.5846534394901244,0.13086919914980677,-0.7314819061161357,-0.5703328438077019,-0.4867209175178352,0.05655974902991123,-1.0
17,2015-07-01,-0.5421286391029732,0.16927111223020308,-0.5805451653407547,-0.42515589728034286,-0.3037891086239807,0.08452272009210948,-1.0
18,2015-06-01,-0.6289325275104871,0.20685581537374476,-0.5731985856819,-0.5069749883580923,-0.33346505581935004,0.11093910040300337,-1.0
19,2015-05-01,-0.5799266070529804,0.24611128980444086,-0.582365156150235,-0.5573677480968153,-0.42843292772461217,0.13757920733255413,-1.0
20,2015-04-01,-0.510466480494165,0.2844880143000321,-0.6188564706549605,-0.5192363317637567,-0.46251010702398676,0.16273315502114905,-1.0
21,2015-03-01,-0.4679877847365046,0.3245267715079758,-0.6053340665395381,-0.5122767175409682,-0.40847366440680744,0.1880870986639318,-1.0
22,2015-02-01,-0.3502890388976667,0.3610103066956869,-0.505573096867082,-0.48044342089509984,-0.43968741053501137,0.2104374573719494,-1.0
23,2015-01-01,-0.11444289515527195,0.4017398052545542,-0.42790933926091224,-0.399372789693608,-0.3534418462824661,0.23458232262863699,-1.0
24,2014-12-01,-0.12722608953758086,0.5410990779310736,-0.6900401499079477,-0.5582750377460979,-0.1466198397854197,-0.11366427021003056,1.0
25,2014-11-01,-0.2807022633243126,0.5811438261428048,-0.5932534906743424,-0.614403317626455,-0.32891195306525545,-0.091482583370746,1.0
26,2014-10-01,-0.4020689902210258,0.622819223721947,-0.5668559790257569,-0.6582419859647615,-0.39929681430611397,-0.06915455112147417,1.0
27,2014-09-01,-0.4047309167498757,0.6634196253721547,-0.5846796789654582,-0.6933461353375632,-0.5048810242198982,-0.048111860955360686,1.0
28,2014-08-01,-0.375743646044023,0.7056340588845393,-0.4609356998715971,-0.6462575701670841,-0.33979581697869166,-0.026942441512091464,1.0
29,2014-07-01,-0.3400900755835844,0.7480954958112178,-0.3487704685993085,-0.6223700294713457,-0.3118384127015589,-0.006347760421396953,1.0
30,2014-06-01,-0.11872669748357456,0.7894052933235169,-0.25185429162721684,-0.491089331069541,-0.04736275485153141,0.01304427641162298,1.0
31,2014-05-01,-0.038831062143347306,0.8322997722699974,-0.19199184750725284,-0.3618861614922839,0.17591660269732,0.0325356967917414,1.0
32,2014-04-01,-0.016869278707123736,0.8739946369435241,-0.19731614238193973,-0.3711055319944411,0.06346437082688294,0.050877820443177235,1.0
33,2014-03-01,-0.03964483123406548,0.9172518793367694,-0.18564073346622922,-0.3871882283036814,-0.015068633075570825,0.06930268095859882,1.0
34,2014-02-01,-0.17372969943672978,0.9564587480673017,-0.33817376221248296,-0.526508659449552,-0.33471134977066863,0.08549043704636117,1.0
35,2014-01-01,-0.11684370284944257,1.0,-0.4371069628827243,-0.5964245709432692,-0.48638202276582865,0.10291862248555983,1.0
36,2013-12-01,-0.038445070454403374,0.16406888092150962,-0.4313411942774301,-0.6269804689164546,-0.36020032300145954,-0.1622299052279761,1.0
37,2013-11-01,-0.1149788276510414,0.20642439090443387,-0.4244567234612875,-0.6347265176619957,-0.22427552227288117,-0.14633396971195134,1.0
38,2013-10-01,-0.26302200033936785,0.25027731598189873,-0.4295783949848284,-0.6275784829471323,-0.061257894609662245,-0.13039141211901195,1.0
39,2013-09-01,-0.5345839799408293,0.29278152521249656,-0.5292225693491326,-0.6796054771427368,-0.2448319254794712,-0.11542195383544396,1.0
40,2013-08-01,-0.5487979837212449,0.33675296689270584,-0.5452711972831912,-0.6323886151559794,-0.28856487327360214,-0.10041840562643678,1.0
41,2013-07-01,-0.544190389800736,0.38075770544220267,-0.485758103268888,-0.4808197184805699,-0.29912682209692143,-0.08587799403091745,1.0
42,2013-06-01,-0.025296253672775215,0.4233575435585899,-0.3795916089607809,-0.3283015724102557,-0.2674556132471715,-0.0722386679567435,1.0
43,2013-05-01,0.020987775333920045,0.4673748047973907,-0.339375606142976,-0.2764644904094491,-0.131114926871173,-0.058581913649729866,1.0
44,2013-04-01,0.06650187110747452,0.5099527558842138,-0.3149020649995259,-0.3152962669520367,-0.1449371133371079,-0.04577998131642547,1.0
45,2013-03-01,0.3885835117154517,0.5539122612392742,-0.3189542790384232,-0.20663706772275925,-0.16428139782774087,-0.03297018345203717,1.0
46,2013-02-01,0.42552278748964056,0.593569746665624,-0.3053771197027202,-0.15957277309697782,-0.07194422601667438,-0.021758172780103946,1.0
47,2013-01-01,0.3935325183505529,0.637406529748678,-0.3039191303215171,-0.09777561356102726,0.10231576236229367,-0.009732646682066526,1.0
