,Date,Price,Proteus2,Food Price Index,Cereals Price Index,Wheat Futures,Harvest,Sentiment
0,2016-12-01,0.2948414512788789,0.1934196,0.6474728087012156,0.5400471142520612,405.90625,7611716.0,1.0
1,2016-11-01,0.2818643931040046,0.1934196,0.6519513755598209,0.53886925795053,408.40625,7611716.0,1.0
2,2016-10-01,0.2897985530243941,0.1934196,0.6532309660908509,0.5435806831566549,414.175,7611716.0,1.0
3,2016-09-01,0.2726526989591458,0.1934196,0.6538707613563659,0.5406360424028268,407.78125,7611716.0,1.0
4,2016-08-01,0.2732578467496839,0.1934196,0.6487523992322457,0.5594817432273262,402.4375,7611716.0,1.0
5,2016-07-01,0.2817299158172184,0.1934196,0.6327575175943698,0.5665488810365136,408.675,7611716.0,1.0
6,2016-06-01,0.303582474919986,0.1934196,0.6385156749840051,0.5901060070671378,448.71875,7611716.0,1.0
7,2016-05-01,0.3047255318576692,0.1934196,0.6167626359564939,0.5706713780918727,450.975,7611716.0,1.0
8,2016-04-01,0.3113149189101961,0.1934196,0.6071657069737684,0.5541813898704357,464.4375,7611716.0,1.0
9,2016-03-01,0.3023049406955165,0.1934196,0.5950095969289827,0.541813898704358,472.3125,7611716.0,1.0
10,2016-02-01,0.3029100884860546,0.1934196,0.5860524632117722,0.5471142520612485,449.34375,7611716.0,1.0
11,2016-01-01,0.3086253731744708,0.1934196,0.5777351247600767,0.5488810365135454,467.825,7611716.0,1.0
12,2015-12-01,0.3152147602269976,0.1886422,0.5694177863083812,0.5382803297997645,474.25,6547754.0,-1.0
13,2015-11-01,0.3086253731744708,0.1886422,0.5738963531669865,0.5447585394581861,467.85,6547754.0,-1.0
14,2015-10-01,0.3163578171646808,0.1886422,0.5911708253358925,0.5518256772673734,493.0625,6547754.0,-1.0
15,2015-09-01,0.3109114870498372,0.1886422,0.582213691618682,0.5447585394581861,481.0,6547754.0,-1.0
16,2015-08-01,0.2998843495333638,0.1886422,0.5860524632117722,0.5530035335689046,476.125,6547754.0,-1.0
17,2015-07-01,0.3355208305317231,0.1886422,0.6135636596289188,0.5954063604240282,536.34375,6547754.0,-1.0
18,2015-06-01,0.3378069444070896,0.1886422,0.618682021753039,0.5818610129564192,539.09375,6547754.0,-1.0
19,2015-05-01,0.3193835561173717,0.1886422,0.6212412028150991,0.5759717314487632,524.4,6547754.0,-1.0
20,2015-04-01,0.3341760576638605,0.1886422,0.619321817018554,0.591283863368669,525.25,6547754.0,-1.0
21,2015-03-01,0.3534063096742959,0.1886422,0.6250799744081893,0.5989399293286218,549.575,6547754.0,-1.0
22,2015-02-01,0.3805707216051208,0.1886422,0.6436340371081253,0.6118963486454653,549.875,6547754.0,-1.0
23,2015-01-01,0.405785212877545,0.1886422,0.6589891234804862,0.6372202591283863,582.09375,6547754.0,-1.0
24,2014-12-01,0.4400096823646485,0.1957896,0.6218809980806141,0.6036513545347467,646.125,6972794.0,1.0
25,2014-11-01,0.4051128264436137,0.1957896,0.6397952655150352,0.5948174322732627,605.7,6972794.0,1.0
26,2014-10-01,0.4004061214060945,0.1957896,0.6468330134357005,0.5889281507656066,595.0625,6972794.0,1.0
27,2014-09-01,0.3967079960194722,0.1957896,0.6468330134357005,0.5848056537102473,574.4375,6972794.0,1.0
28,2014-08-01,0.3977165756703693,0.1957896,0.6685860524632117,0.6007067137809187,625.95,6972794.0,1.0
29,2014-07-01,0.4023560420644951,0.1957896,0.6884197056941778,0.610718492343934,640.53125,6972794.0,1.0
30,2014-06-01,0.4249482262445873,0.1957896,0.7056941778630837,0.646643109540636,717.675,6972794.0,1.0
31,2013-12-01,0.3698125386622199,0.1965226,0.6896992962252079,0.6325088339222614,667.55,8902254.0,1.0
32,2013-11-01,0.4078023721793389,0.1965226,0.6922584772872681,0.633097762073027,708.28125,8902254.0,1.0
33,2013-10-01,0.4335547725989079,0.1965226,0.692898272552783,0.6372202591283863,756.09375,8902254.0,1.0
34,2013-09-01,0.4303273177160377,0.1965226,0.6788227767114523,0.6266195524146054,711.0,8902254.0,1.0
35,2013-08-01,0.450498910733977,0.1965226,0.6775431861804222,0.6401648998822144,703.0625,8902254.0,1.0
36,2013-07-01,0.4642155939861757,0.1965226,0.6877799104286628,0.6790341578327443,703.6875,8902254.0,1.0
37,2013-06-01,0.4773943680912293,0.1965226,0.7050543825975687,0.7179034157832744,715.2,8902254.0,1.0
38,2013-05-01,0.487480164600199,0.1965226,0.7120921305182341,0.732037691401649,754.46875,8902254.0,1.0
39,2013-04-01,0.4825045049891073,0.1965226,0.7165706973768393,0.7237926972909305,753.3125,8902254.0,1.0
40,2013-03-01,0.4784029477421263,0.1965226,0.7165706973768393,0.7514723203769139,750.5,8902254.0,1.0
41,2013-02-01,0.4894973239019929,0.1965226,0.7191298784388995,0.7638398115429916,777.03125,8902254.0,1.0
42,2013-01-01,0.5096689169199322,0.1965226,0.7197696737044146,0.7797408716136631,825.375,8902254.0,1.0
43,2012-04-01,0.5163927812592453,0.1982361,0.7223288547664747,0.690223792697291,648.15,6452690.0,1.0
44,2012-03-01,0.4989107339770312,0.1982361,0.7300063979526551,0.6978798586572438,688.84375,6452690.0,1.0
45,2012-02-01,0.5116860762217261,0.1982361,0.7280870121561099,0.7008244994110718,687.28125,6452690.0,1.0
46,2012-01-01,0.5177375541271079,0.1982361,0.7108125399872041,0.6802120141342756,691.225,6452690.0,1.0
47,2011-12-01,0.5342110217584249,0.2004547,0.7037747920665387,0.6601884570082449,665.125,5988976.0,
48,2011-11-01,0.5505500121029557,0.2004547,0.7268074216250798,0.6943462897526501,679.0,5988976.0,
49,2011-10-01,0.5577445469460208,0.2004547,0.7248880358285348,0.7067137809187278,716.175,5988976.0,
50,2011-09-01,0.5547188079933298,0.2004547,0.7517594369801663,0.7455830388692579,774.53125,5988976.0,
51,2011-08-01,0.5887415615502541,0.2004547,0.7664747280870121,0.7685512367491165,824.0,5988976.0,
52,2011-07-01,0.6027944380194185,0.2004547,0.7677543186180422,0.7455830388692579,755.275,5988976.0,
53,2011-06-01,0.6485167155267475,0.2004547,0.7779910428662827,0.7809187279151942,803.5625,5988976.0,
54,2011-05-01,0.6473736585890643,0.2004547,0.7792706333973128,0.8009422850412249,909.175,5988976.0,
55,2011-04-01,0.62666415642398,0.2004547,0.7863083813179782,0.805064782096584,913.65625,5988976.0,
56,2011-03-01,0.5822866517845136,0.2004547,0.7741522712731925,0.7720848056537102,853.84375,5988976.0,
57,2011-02-01,0.6357413732820526,0.2004547,0.7933461292386436,0.8038869257950529,927.28125,5988976.0,
58,2011-01-01,0.5869933568220327,0.2004547,0.7709532949456174,0.7691401648998821,890.9,5988976.0,
59,2010-12-01,0.5644684112853339,0.1974303,0.8278950735764555,0.823321554770318,829.03125,5518061.0,1.0
60,2010-11-01,0.5067104166106344,0.1974303,0.7946257197696737,0.7803297997644287,741.53125,5518061.0,1.0
61,2010-10-01,0.4935316425055807,0.1974303,0.7683941138835572,0.7697290930506477,743.025,5518061.0,1.0
62,2010-09-01,0.4953470858771953,0.1974303,0.7306461932181701,0.7420494699646643,744.90625,5518061.0,1.0
63,2010-08-01,0.4431026599607326,0.1974303,0.6890595009596928,0.6654888103651354,715.775,5518061.0,1.0
64,2010-07-01,0.3985906780344799,0.1974303,0.6397952655150352,0.5612485276796231,589.71875,5518061.0,1.0
65,2010-06-01,0.3556924235496624,0.1974303,0.6129238643634036,0.5170789163722025,483.875,5518061.0,1.0
66,2010-05-01,0.3459428202576584,0.1974303,0.6161228406909788,0.5335689045936395,492.65,5518061.0,1.0
67,2010-04-01,0.3606680831607541,0.1974303,0.6199616122840691,0.5341578327444052,492.4375,5518061.0,1.0
68,2010-03-01,0.3647696404077351,0.1974303,0.6167626359564939,0.5406360424028268,485.84375,5518061.0,1.0
69,2010-02-01,0.3798983351711895,0.1974303,0.6333973128598848,0.5535924617196701,502.78125,5518061.0,1.0
70,2010-01-01,0.3849412334256744,0.1974303,0.6493921944977606,0.5795053003533569,516.525,5518061.0,1.0
71,2009-12-01,0.4076141039778381,0.2001914,0.6679462571976967,0.6048292108362779,525.40625,6382565.0,-1.0
72,2009-11-01,0.4128049272477878,0.2001914,0.6557901471529111,0.5989399293286218,540.05,6382565.0,-1.0
73,2009-10-01,0.3897958634786584,0.2001914,0.6289187460012795,0.5730270906949352,516.46875,6382565.0,-1.0
74,2009-09-01,0.3775315349237513,0.2001914,0.6174024312220089,0.5488810365135454,472.3125,6382565.0,-1.0
75,2009-08-01,0.3860304994486431,0.2001914,0.6199616122840691,0.5612485276796231,514.025,6382565.0,-1.0
76,2009-07-01,0.4302466313439659,0.2001914,0.6020473448496481,0.5771495877502945,554.40625,6382565.0,-1.0
77,2009-06-01,0.4928995992576852,0.2001914,0.619321817018554,0.6289752650176678,613.25,6382565.0,-1.0
78,2009-05-01,0.5173341222667491,0.2001914,0.619321817018554,0.6313309776207302,652.2,6382565.0,-1.0
79,2009-04-01,0.5171324063365698,0.2001914,0.5790147152911068,0.5995288574793874,579.46875,6382565.0,-1.0
80,2009-03-01,0.4129528522632525,0.2001914,0.5572616762635956,0.5936395759717313,574.55,6382565.0,-1.0
81,2009-02-01,0.4287270380032812,0.2001914,0.5585412667946257,0.5936395759717313,572.96875,6382565.0,-1.0
82,2009-01-01,0.4607864231731259,0.2001914,0.5732565579014715,0.6130742049469964,621.71875,6382565.0,-1.0
83,2008-12-01,0.4414620370619401,0.1971578,0.5348688419705694,0.5453474676089516,577.1875,6777906.0,-1.0
84,2008-11-01,0.435639170544095,0.1971578,0.5572616762635956,0.5500588928150766,565.45,6777906.0,-1.0
85,2008-10-01,0.4337026976143728,0.1971578,0.6071657069737684,0.6012956419316843,597.71875,6777906.0,-1.0
86,2008-09-01,0.4928995992576852,0.1971578,0.7018554062699935,0.7179034157832744,747.875,6777906.0,-1.0
87,2008-08-01,0.541297974772061,0.1971578,0.7536788227767114,0.7820965842167256,849.05,6777906.0,-1.0
88,2008-07-01,0.5361071515021113,0.1971578,0.8099808061420345,0.8492343934040046,841.84375,6777906.0,-1.0
89,2008-06-01,0.5739490600037653,0.1971578,0.8246960972488804,0.9181389870435808,894.7,6777906.0,-1.0
90,2008-05-01,0.651300395363223,0.1971578,0.8093410108765194,0.9022379269729092,837.8125,6777906.0,-1.0
91,2008-04-01,0.7191172910895348,0.1971578,0.8112603966730645,0.9322732626619552,928.125,6777906.0,-1.0
92,2008-03-01,0.827358059223797,0.1971578,0.8221369161868202,0.9358068315665488,1130.35,6777906.0,-1.0
93,2008-02-01,1.0,0.1971578,0.7971849008317338,0.9216725559481742,1128.84375,6777906.0,-1.0
94,2008-01-01,0.6855114171216481,0.1971578,0.7472808701215611,0.8080094228504121,965.625,6777906.0,-1.0
95,2007-12-01,0.6300664317796723,0.1994063,0.7671145233525272,0.8162544169611307,953.7,4758024.0,-1.0
96,2007-11-01,0.5242865979935988,0.1994063,0.7408829174664107,0.7473498233215548,817.625,4758024.0,-1.0
97,2007-10-01,0.5178989268712514,0.1994063,0.7216890595009596,0.7491166077738516,849.875,4758024.0,-1.0
98,2007-09-01,0.4844678733761866,0.1994063,0.7044145873320536,0.7232037691401648,857.475,4758024.0,-1.0
99,2007-08-01,0.3959818186708265,0.1994063,0.6634676903390915,0.6307420494699646,668.3125,4758024.0,-1.0
100,2007-07-01,0.3670154110970656,0.1994063,0.6391554702495201,0.5853945818610129,613.725,4758024.0,-1.0
101,2007-06-01,0.3482692773190607,0.1994063,0.6110044785668586,0.5677267373380448,565.96875,4758024.0,-1.0
102,2007-05-01,0.3207686721712702,0.1994063,0.5777351247600767,0.5347467608951707,482.03125,4758024.0,-1.0
103,2007-04-01,0.3176487991178289,0.1994063,0.5604606525911707,0.525323910482921,485.8,4758024.0,-1.0
104,2007-03-01,0.3143406578628869,0.1994063,0.5419065898912347,0.5335689045936395,485.9375,4758024.0,-1.0
105,2007-02-01,0.313654823700277,0.1994063,0.5342290467050543,0.5371024734982331,492.65625,4758024.0,-1.0
106,2007-01-01,0.3103332347166563,0.1994063,0.5239923224568138,0.525323910482921,490.90625,4758024.0,-1.0
107,2006-12-01,0.3201769721094107,0.1999463,0.5591810620601407,0.5594817432273262,505.3,5983623.0,1.0
108,2006-11-01,0.306204782012318,0.1999463,0.5515035188739603,0.5588928150765606,520.59375,5983623.0,1.0
109,2006-10-01,0.3061240956402462,0.1999463,0.5335892514395394,0.5229681978798586,524.875,5983623.0,1.0
110,2006-09-01,0.279443801941852,0.1999463,0.5195137555982086,0.4752650176678445,471.125,5983623.0,1.0
111,2006-08-01,0.2794841451278879,0.1999463,0.5188739603326935,0.4564193168433451,460.8125,5983623.0,1.0
112,2006-07-01,0.3100777278717624,0.1999463,0.5188739603326935,0.4575971731448763,495.225,5983623.0,1.0
113,2006-06-01,0.2908205804039696,0.1999463,0.5060780550223928,0.4440518256772673,480.40625,5983623.0,1.0
114,2006-05-01,0.2885210187999246,0.1999463,0.5054382597568777,0.4440518256772673,491.8125,5983623.0,1.0
115,2006-04-01,0.2730292353621473,0.1999463,0.4964811260396672,0.4269729093050647,437.075,5983623.0,1.0
116,2006-03-01,0.2739167854549366,0.1999463,0.4939219449776071,0.4187279151943462,419.78125,5983623.0,1.0
117,2006-02-01,0.2873914095909201,0.1999463,0.5015994881637876,0.4246171967020023,429.21875,5983623.0,1.0
118,2006-01-01,0.2828864204835803,0.1999463,0.4939219449776071,0.4110718492343934,386.275,5983623.0,1.0
119,2005-12-01,0.278650385949813,0.199433,0.5073576455534229,0.4128386336866901,368.625,6097942.0,1.0
120,2005-11-01,0.2698555713939915,0.199433,0.5022392834293026,0.4069493521790341,360.0625,6097942.0,1.0
121,2005-10-01,0.2733116376643985,0.199433,0.5067178502879078,0.4169611307420494,375.2,6097942.0,1.0
122,2005-09-01,0.2697076463785266,0.199433,0.4990403071017274,0.4134275618374558,358.15625,6097942.0,1.0
123,2005-08-01,0.2562868131572577,0.199433,0.492642354446577,0.4093050647820965,343.46875,6097942.0,1.0
124,2005-07-01,0.2581560474435868,0.199433,0.492002559181062,0.4110718492343934,338.75,6097942.0,1.0
125,2005-06-01,0.2683763212393426,0.199433,0.4900831733845169,0.404004711425206,328.71875,6097942.0,1.0
