,Date,Price,Proteus2,Food Price Index,Cereals Price Index,Wheat Futures,Harvest,Sentiment
0,2016-12-01,0.3430320879287267,0.34671802047004857,0.784375442185605,0.6691971589754294,0.5249815161037534,0.5824446729630516,1.0
1,2016-11-01,0.3816983235978637,0.34158988794313994,0.7738057473896485,0.632609303909976,0.49773942277548566,0.5754504247664854,1.0
2,2016-10-01,0.3559622450200706,0.336225398789372,0.7492248808393411,0.6135884938490199,0.47623531947838954,0.5684178131896617,1.0
3,2016-09-01,0.33290394342059876,0.3309695729113857,0.7236404828750984,0.5734339194944469,0.43435996313228314,0.5617989940313545,1.0
4,2016-08-01,0.3433937224466951,0.32547089765286186,0.6730105872400572,0.5988243479011784,0.39420980756544255,0.5551510818414381,1.0
5,2016-07-01,0.3919282996334548,0.3199023154133219,0.5761416469885153,0.5896065059097674,0.3760205968858409,0.5486961862566686,1.0
6,2016-06-01,0.4405449032178176,0.3144457161039119,0.5750479791661616,0.6319351841623515,0.42126886606753056,0.5426317123951405,1.0
7,2016-05-01,0.39416734912672735,0.30873620217288666,0.45485154310329007,0.5445670800352613,0.3974025757262936,0.5365517311598474,1.0
8,2016-04-01,0.38884678777284487,0.3031410531859304,0.3888442411876542,0.4678360412969237,0.3956528164032608,0.5308469383275287,1.0
9,2016-03-01,0.3512266758709276,0.29728613494613004,0.31172167541389595,0.40348266189162885,0.3836012027830203,0.5251353835364587,1.0
10,2016-02-01,0.30831276733312235,0.2917405273741864,0.25072606277849147,0.3949134262844221,0.31765816269028724,0.519959601293237,1.0
11,2016-01-01,0.2872503864247367,0.2857382252669106,0.19170976729834313,0.37481689291440773,0.3264685516088945,0.5146041039302202,1.0
12,2015-12-01,0.29313836771077445,0.23967916517880894,0.13345587414415155,0.31827225752647736,0.3140349339432479,0.5874016113309658,-1.0
13,2015-11-01,0.303350255455407,0.23371994745576974,0.13199892465787744,0.3147967964080187,0.27968908645060025,0.5825657580941472,-1.0
14,2015-10-01,0.29628807445433114,0.2274832524141388,0.1859423063215317,0.3131347887178842,0.30302840242107143,0.5777440242599695,-1.0
15,2015-09-01,0.2130957252002213,0.221370371304157,0.1277716182228851,0.2703727643698881,0.2597611612036027,0.5732459283534875,-1.0
16,2015-08-01,0.33684599491512823,0.21497265445404112,0.1250330013624161,0.2738442087623782,0.22962472125212505,0.5687699664746977,-1.0
17,2015-07-01,0.3829114236201629,0.20849139280626602,0.2254337873107843,0.38108271095856905,0.3190331899605572,0.5644672384079872,-1.0
18,2015-06-01,0.38896709465574764,0.20213857034192212,0.23023608419329425,0.3210604677286349,0.3048799763323718,0.5604666714519101,-1.0
19,2015-05-01,0.3349352258897423,0.19548954129893478,0.2240842619567579,0.2842390103795011,0.2589405622074017,0.5564999303031565,-1.0
20,2015-04-01,0.32956919737542656,0.1889721991211817,0.19977809994175325,0.31267532690943317,0.24265608574079872,0.5528213726683667,-1.0
21,2015-03-01,0.30860333483883723,0.18215093006569227,0.2088351860777942,0.31818101215111844,0.26930713174993226,0.5491841305323162,-1.0
22,2015-02-01,0.33640894236863184,0.17591310713561456,0.2753747771217052,0.3420065068532813,0.2544069089310187,0.5460407160681591,-1.0
23,2015-01-01,0.41597722906489154,0.16892099022466192,0.32724665030457023,0.40218414617808246,0.296757421600767,0.5427159973833647,-1.0
24,2014-12-01,0.4268129195255105,0.3379214699477834,0.15281060684892717,0.2855419785068879,0.3978444279071332,0.6224339080029112,1.0
25,2014-11-01,0.4279317843484092,0.33097825556384597,0.21750052256220617,0.24464993370738786,0.3093923887346788,0.6195254477341188,1.0
26,2014-10-01,0.4026597212199378,0.3237113827815538,0.23534959055398144,0.21285617068556573,0.2754648472536243,0.616675942764026,1.0
27,2014-09-01,0.36187649189733573,0.31658860593119337,0.22377128125318366,0.1875067916894272,0.22438478565582104,0.6140676710458118,1.0
28,2014-08-01,0.3603864928315471,0.3091339489582867,0.3065463001931868,0.22277055093131118,0.30515995267623186,0.6115251169586902,1.0
29,2014-07-01,0.3588043594472372,0.3015821466328681,0.3816467189373438,0.24095973108351,0.31914562588463763,0.6091360679419275,1.0
30,2014-06-01,0.4266860859739539,0.29418036752138815,0.4466123190476964,0.3382947288893223,0.4483277306138551,0.6069686640636628,1.0
31,2014-05-01,0.4930974707990408,0.28643403541862567,0.48694394366796684,0.4341394858247819,0.5574586835448189,0.60487678089244,1.0
32,2014-04-01,0.4687986941135496,0.2788418375142561,0.4838705458191377,0.42797323026220935,0.5030496344099342,0.602993817555704,1.0
33,2014-03-01,0.43589952409539695,0.2708965030168661,0.49217056939037007,0.4167893725078666,0.46517685081692706,0.6011926123247677,1.0
34,2014-02-01,0.3344701303424855,0.26363170520449697,0.3910617565845289,0.3147370623668323,0.3098277468396683,0.5996905965005459,1.0
35,2014-01-01,0.29392641470785497,0.25548963792466145,0.3257419150058421,0.26391580077430166,0.23633447235242777,0.5981643664704949,1.0
36,2013-12-01,0.35441071650841055,0.1092643240301826,0.3301972596431916,0.24211787052729059,0.29818119599817405,0.4667894064874342,1.0
37,2013-11-01,0.39484649272578937,0.10118214308353557,0.33540602472054976,0.23712171391225015,0.36476249380789405,0.4655835423897528,1.0
38,2013-10-01,0.4221028833569797,0.09272495699537832,0.33266555762684885,0.2431403892525488,0.4445538357906937,0.46447397626026593,1.0
39,2013-09-01,0.4578526827002802,0.0844373145028298,0.26696367899409373,0.2055394048453759,0.3555129543471092,0.4635307319334044,1.0
40,2013-08-01,0.46614786585903883,0.07576558184193052,0.25699658572133993,0.24111387147201074,0.3345998265209115,0.46268929561447153,1.0
